ProbeID	brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
100_g_at	660	725	237	249	207	275	595	479
1000_at	3032	2920	1507	1299	1227	1117	1204	1439
1001_at	221	103	241	190	303	369	336	355
1002_f_at	94	175	61	185	229	287	2073	2178
1003_s_at	153	168	430	293	699	293	584	685
1004_at	160	447	216	264	773	469	766	889
1005_at	913	1374	707	722	3941	4837	3378	3527
1006_at	21	20	18	8	53	26	20	20
1007_s_at	3554	4880	3299	2932	795	671	750	723
1008_f_at	1747	1641	2827	1543	4101	3037	7531	4200
1009_at	7312	6546	2853	2744	4756	5226	4798	5850
101_at	125	195	29	31	69	113	149	69
1010_at	31	31	31	31	56	42	71	27
1011_s_at	773	690	1364	1256	462	421	172	326
1012_at	19	16	45	72	16	16	12	14
1013_at	86	12	187	184	93	150	47	25
1014_at	687	628	465	504	615	530	109	98
1015_s_at	93	201	101	50	61	49	82	65
1016_s_at	30	24	94	94	52	85	108	114
1017_at	173	174	361	424	150	125	100	28
1018_at	616	667	489	531	271	178	102	147
1019_g_at	1096	1648	1185	974	266	443	598	845
102_at	29	77	94	102	41	44	151	43
1020_s_at	699	791	379	399	1217	1261	2262	2242
1021_at	76	96	172	76	182	157	259	256
1022_f_at	28	63	191	26	96	100	144	205
1023_at	50	46	27	40	240	43	243	120
1024_at	284	159	373	294	427	411	719	797
1025_g_at	162	124	63	30	53	138	542	547
1026_s_at	357	280	387	105	663	336	858	903
1027_at	164	72	299	229	198	164	87	362
1028_at	291	190	275	259	396	366	393	551
1029_s_at	16	57	44	40	15	21	21	76
103_at	187	192	52	33	48	43	87	72
1030_s_at	508	404	1396	1351	955	1144	373	201
1031_at	96	76	561	510	137	136	40	56
1032_at	661	497	769	538	1820	1348	1252	2420
1033_g_at	136	182	235	50	341	269	338	547
1034_at	715	1053	715	678	944	994	1137	979
1035_g_at	429	552	555	545	861	871	642	740
1036_at	49	2	7	7	9	29	92	46
1037_at	34	38	142	166	144	73	181	35
1038_s_at	338	186	457	516	367	488	87	85
1039_s_at	410	154	606	764	319	308	100	101
104_at	252	227	336	301	119	47	70	104
1040_s_at	44	44	216	203	30	44	23	73
1041_at	26	64	36	43	66	20	54	49
1042_at	14	6	62	70	71	95	69	15
1043_s_at	154	105	21	148	144	158	39	67
1044_s_at	115	134	342	372	112	107	57	75
1045_s_at	42	138	167	207	116	197	164	232
1046_at	191	154	432	561	126	127	186	149
1047_s_at	318	155	257	380	3099	3185	2673	3296
1048_at	284	157	233	163	199	131	219	178
1049_g_at	188	303	188	90	109	100	134	196
105_at	149	85	201	134	757	886	1476	1490
1050_at	20	4	2	2	6	3	4	28
1051_g_at	41	40	48	27	43	85	118	124
1052_s_at	993	995	577	647	10262	10048	2057	2181
1053_at	242	257	320	290	297	498	292	270
1054_at	67	62	110	110	99	169	113	45
1055_g_at	188	101	288	386	236	381	280	183
1056_s_at	123	80	104	170	152	202	238	240
1057_at	436	289	364	315	456	394	550	452
1058_at	2891	3284	1143	1183	20	17	60	52
1059_at	67	66	167	73	30	25	10	91
106_at	27	60	75	35	263	317	121	204
1060_g_at	639	361	569	396	644	368	529	831
1061_at	310	207	383	416	556	573	352	538
1062_g_at	197	75	42	66	195	145	42	171
1063_s_at	3422	2872	674	773	98	70	121	66
1064_at	185	120	365	444	115	156	36	10
1065_at	172	129	278	133	237	180	306	207
1066_at	80	54	196	53	266	80	443	515
1067_at	202	169	245	188	339	321	371	601
1068_g_at	88	61	55	50	99	46	160	128
1069_at	85	45	30	9	8	6	48	22
107_at	70	59	49	23	59	72	157	86
1070_at	106	94	151	307	204	216	68	41
1071_at	57	40	50	51	94	67	52	52
1072_g_at	294	226	74	205	213	115	208	150
1073_at	794	475	1536	1477	774	857	508	463
1074_at	305	223	830	991	316	412	123	54
1075_f_at	28	11	69	64	12	44	66	85
1076_at	36	40	92	90	105	44	47	10
1077_at	22	6	15	9	46	16	72	114
1078_at	19	63	21	64	32	52	32	45
1079_g_at	53	65	213	125	346	150	104	212
108_g_at	902	1112	526	408	84	84	120	323
1080_s_at	35	29	16	11	40	10	1120	3269
1081_at	1237	1058	2045	2180	1890	1699	879	1085
1082_at	126	144	393	259	94	91	115	301
1083_s_at	132	228	145	216	219	276	261	506
1084_at	44	72	122	46	56	71	51	64
1085_s_at	316	271	334	404	542	686	635	1017
1086_at	65	76	91	199	116	188	185	348
1087_at	149	172	128	42	1252	1420	64	257
1088_at	129	70	78	67	40	58	12	41
1089_i_at	319	202	34	513	413	353	700	920
109_at	1177	1072	711	877	805	964	1991	1975
1090_f_at	174	57	160	50	42	71	17	79
1091_at	12008	14867	2714	2348	1108	823	435	747
1092_at	237	222	619	526	930	855	920	1530
1093_at	57	63	58	98	333	344	73	127
1094_g_at	179	202	255	248	640	890	291	270
1095_s_at	44	14	15	4	47	90	37	108
1096_g_at	111	51	54	35	86	220	201	112
1097_s_at	195	153	205	175	358	393	641	634
1098_at	24	6	12	10	123	176	82	24
1099_s_at	300	509	133	121	376	75	266	131
110_at	214	208	830	674	1801	1438	234	554
1100_at	417	555	285	318	388	398	428	361
1101_at	1221	823	1027	1109	481	332	492	433
1102_s_at	93	27	89	80	125	169	39	33
1103_at	71	99	160	170	3306	3330	35898	21590
1104_s_at	3711	3374	2547	2412	21250	17625	7700	5260
1105_s_at	1454	1856	1096	1015	1006	730	1628	1249
1106_s_at	400	113	410	378	420	303	565	985
1107_s_at	1368	1435	395	424	998	888	2107	1920
1108_s_at	42	44	44	42	224	314	606	547
1109_s_at	51	48	36	27	46	38	47	42
111_at	612	829	363	424	475	286	1002	757
1110_at	159	121	256	150	236	165	189	333
1111_at	28	29	48	65	49	60	78	60
1112_g_at	385	492	657	742	415	448	576	735
1113_at	36	22	15	14	82	40	19	34
1114_at	266	165	73	81	284	272	134	31
1115_at	48	73	63	54	2311	2895	177	151
1116_at	186	146	445	266	359	314	236	394
1117_at	27	51	65	53	267	287	1090	1302
1118_at	58	27	33	30	45	30	28	55
1119_at	852	742	586	618	638	631	467	544
112_g_at	19	38	142	202	120	110	30	42
1120_at	553	320	591	577	449	388	308	435
1121_g_at	641	505	557	642	190	219	274	373
1122_f_at	756	765	586	550	1103	1019	1134	782
1123_at	41	35	31	32	79	41	35	65
1124_at	952	677	1104	1089	610	590	613	678
1125_s_at	13	12	18	63	16	21	16	24
1126_s_at	40	29	48	60	124	205	125	78
1127_at	394	493	334	175	553	461	538	658
1128_s_at	195	86	252	55	310	180	216	211
1129_at	58	39	25	26	41	50	55	117
113_i_at	710	793	92	145	37	9	14	24
1130_at	2473	1911	1056	841	1062	1255	929	906
1131_at	1629	1766	492	902	1603	1733	1511	1415
1132_s_at	340	256	557	288	770	760	732	937
1133_at	43	27	26	20	77	32	65	68
1134_at	1858	2387	1307	1165	725	868	840	895
1135_at	636	563	689	545	744	591	350	131
1136_at	329	274	317	253	480	527	263	483
1137_at	321	500	262	205	49	209	74	264
1138_at	1423	1150	838	1008	959	1400	177	189
1139_at	16	66	267	288	174	92	51	197
114_r_at	49	26	41	36	43	23	30	25
1140_at	175	220	174	359	58	237	42	259
1141_at	240	157	301	321	267	227	268	375
1142_at	319	175	370	371	678	427	500	528
1143_s_at	293	461	467	501	409	567	125	435
1144_at	43	121	46	133	52	125	68	46
1145_g_at	382	508	363	353	554	349	511	558
1146_at	41	109	51	45	421	542	674	665
1147_at	916	817	2056	2525	344	300	232	178
1148_s_at	174	225	510	553	420	422	84	33
1149_at	36	18	24	37	62	27	32	55
115_at	48	28	624	644	569	583	72	258
1150_at	283	190	332	211	204	69	143	24
1151_at	1221	1033	5966	6049	1452	1666	981	910
1152_i_at	449	307	1000	931	911	1217	985	1748
1153_f_at	156	138	178	206	207	197	333	281
1154_at	591	430	534	797	673	691	602	755
1155_at	368	268	379	335	549	288	371	470
1156_at	45	73	155	60	342	158	131	188
1157_s_at	208	145	101	221	38	120	40	34
1158_s_at	10262	9844	4763	5763	892	750	170	248
1159_at	8	15	6	27	5	8	4	5
116_at	24	97	149	142	158	115	213	180
1160_at	3153	3456	1116	1184	2247	2224	4892	3907
1161_at	13853	13869	8992	10218	7955	6662	10682	6216
1162_g_at	420	499	255	269	358	300	108	408
1163_at	174	181	285	378	84	166	124	48
1164_at	139	139	405	434	185	104	41	85
1165_at	47	49	34	35	45	36	21	35
1166_at	2115	2119	1677	1493	1935	3123	2125	2431
1167_s_at	641	877	1133	650	1525	906	350	1528
1168_at	120	80	92	64	139	69	29	35
1169_at	561	333	199	261	216	208	428	1078
117_at	324	161	366	188	2777	2989	263	497
1170_at	155	91	280	145	173	244	182	393
1171_s_at	85	166	417	321	59	48	56	54
1172_at	34	35	73	55	139	103	50	92
1173_g_at	2139	1429	1549	1613	7140	6506	4178	3513
1174_at	16	7	21	8	24	17	21	19
1175_s_at	16	42	9	9	311	134	18405	17085
1176_at	162	147	253	202	105	109	59	179
1177_at	76	90	111	70	248	28	29	103
1178_at	49	19	255	127	43	125	51	158
1179_at	10337	8268	8329	9025	2626	2482	3615	1970
118_at	1275	1360	29	32	92	25	41	41
1180_g_at	16158	11243	10914	12220	6774	6519	8092	7665
1181_at	131	115	46	55	70	103	80	87
1182_at	205	120	235	253	116	104	116	139
1183_at	36	87	33	24	95	93	25	97
1184_at	804	804	616	690	1316	1478	2228	1623
1185_at	314	226	432	418	661	699	177	648
1186_at	113	91	196	248	26	5	20	7
1187_at	78	237	171	74	113	293	216	228
1188_g_at	36	100	119	50	33	45	39	72
1189_at	555	403	954	1031	522	443	377	674
119_at	102	229	297	359	469	376	702	508
1190_at	18	57	512	506	12	10	10	7
1191_s_at	1237	921	1084	1617	986	1246	836	797
1192_at	1282	955	1031	1089	324	405	310	456
1193_at	71	39	156	141	190	80	100	224
1194_g_at	16	18	186	204	27	30	107	49
1195_s_at	263	190	323	403	142	142	142	80
1196_at	66	129	282	244	594	477	365	133
1197_at	108	125	84	177	323	478	152	297
1198_at	151	51	114	115	8	69	61	34
1199_at	1433	1115	2322	2676	4876	5431	3175	3115
120_at	117	64	199	125	391	370	324	327
1200_at	81	35	55	62	110	92	72	114
1201_at	697	590	409	426	183	135	203	191
1202_g_at	786	713	678	948	397	82	169	277
1203_at	19	25	35	16	15	20	24	42
1204_at	149	43	23	42	45	31	64	54
1205_at	13	31	32	9	19	15	139	19
1206_at	1193	1282	229	387	43	59	74	73
1207_at	103	113	215	172	140	190	39	64
1208_at	57	25	24	45	73	46	45	75
1209_at	18	36	135	97	24	98	20	37
121_at	1975	1856	2016	1401	2424	1540	2991	2656
1210_s_at	61	97	282	205	71	66	61	90
1211_s_at	386	349	333	338	639	585	629	424
1212_at	76	326	124	90	246	566	3447	2453
1213_at	472	345	761	806	209	149	91	83
1214_s_at	13	8	13	9	17	21	13	20
1215_at	31	15	20	17	55	39	81	91
1216_at	225	242	221	251	114	20	32	27
1217_g_at	868	1096	561	656	266	198	183	353
1218_at	771	836	326	101	1047	929	1905	2072
1219_at	45	17	28	24	56	29	43	65
122_at	85	103	56	84	56	61	94	38
1220_g_at	186	256	302	266	406	425	322	485
1221_at	276	319	448	419	402	480	308	528
1222_at	140	102	338	208	137	84	100	33
1223_at	337	447	66	49	350	260	152	466
1224_at	743	1391	664	655	355	554	116	258
1225_g_at	1814	1909	1189	1101	852	1224	995	717
1226_at	167	118	400	416	170	211	25	38
1227_g_at	21	16	89	29	30	20	24	22
1228_s_at	355	374	576	589	905	1199	1406	1213
1229_at	74	67	55	86	136	86	29	22
123_at	68	78	111	100	132	58	112	159
1230_g_at	159	244	252	151	160	245	146	294
1231_at	91	70	150	142	94	94	24	109
1232_s_at	109	80	98	95	15276	17257	1756	2114
1233_s_at	88	645	96	65	187	114	111	140
1234_at	62	136	420	480	110	67	174	307
